,target,prob,e_val,qStartPos,qEndPos
40,AF-A0A9P0M8D5-F1-model_v6,1.00,9.28e-48,838,2519
41,AF-A0A158Q727-F1-model_v6,1.00,3.41e-39,952,2520
42,AF-A0A2H1X0Q2-F1-model_v6,1.00,6.41e-55,18,1283
43,AF-A0A1I8EMU6-F1-model_v6,1.00,2.71e-45,882,2521
44,AF-A0A6J2YXD6-F1-model_v6,1.00,1.18e-45,411,1797
45,AF-A0A6C0PNJ5-F1-model_v6,1.00,2.96e-78,1173,2520
46,AF-A0A0Q5UK93-F1-model_v6,1.00,2.07e-51,2,1323
47,AF-A0A0A1U646-F1-model_v6,1.00,2.99e-18,3,1395
48,AF-A0A7J8CKB3-F1-model_v6,1.00,1.84e-91,18,998
49,AF-A0A8T0F7P9-F1-model_v6,1.00,1.44e-60,1357,2521
50,AF-A0A1B6FU70-F1-model_v6,1.00,4.13e-66,1233,2519
51,AF-A0A8C2B9A3-F1-model_v6,1.00,1.25e-75,13,1322
52,AF-A0A5J4XY78-F1-model_v6,1.00,4.17e-25,1340,2521
53,AF-A0A914YNX1-F1-model_v6,1.00,2.15e-51,346,1669
54,AF-A0A3N0XQA4-F1-model_v6,1.00,5.61e-46,147,1101
55,AF-A0A226EIU0-F1-model_v6,1.00,8.53e-60,1,1315
56,AF-A0A6A4MBG7-F1-model_v6,1.00,1.45e-26,1153,2520
57,8imz-assembly1_A,1.00,0.00e+0,790,2521
58,AF-A0AAV6VPB1-F1-model_v6,1.00,2.12e-59,1,1190
59,AF-A0A8T3E3G7-F1-model_v6,1.00,4.42e-74,1373,2521
60,AF-A0A8C6VJD5-F1-model_v6,1.00,8.11e-70,15,1349
61,AF-A0A3Q3G502-F1-model_v6,1.00,2.03e-71,143,1361
62,AF-A0A0V1FX63-F1-model_v6,1.00,7.50e-65,1215,2521
63,AF-A0A9P0M3N9-F1-model_v6,1.00,2.05e-49,838,2229
64,AF-A0A2S2NRA1-F1-model_v6,1.00,4.46e-52,347,1633
65,AF-A0A0N5B170-F1-model_v6,1.00,6.03e-30,200,1806
66,AF-A0A9P0M5D4-F1-model_v6,1.00,6.26e-54,1167,2519
67,AF-A0A9P0KR01-F1-model_v6,1.00,1.82e-44,1044,2418
68,AF-A0A0V1E9W0-F1-model_v6,1.00,2.02e-50,306,1582
69,AF-A0A4U5PAW8-F1-model_v6,1.00,3.80e-47,1134,2521
70,AF-A0AAV9R4T2-F1-model_v6,1.00,7.29e-88,870,2159
71,AF-A0A915ANH7-F1-model_v6,1.00,4.98e-41,1140,2519
72,AF-A0A914UZ51-F1-model_v6,1.00,4.66e-59,1313,2520
73,AF-A0AAV2PTF5-F1-model_v6,1.00,5.94e-57,1577,2521
74,AF-A0A8T0ZJ80-F1-model_v6,1.00,5.65e-29,1674,2519
75,AF-A0A0A9XEI2-F1-model_v6,1.00,2.47e-55,1,1229
76,AF-A0A315VGY0-F1-model_v6,1.00,3.18e-81,15,1158
77,AF-A0A3Q2Y0W9-F1-model_v6,1.00,1.98e-63,147,1323
78,AF-A0A4D9EAT4-F1-model_v6,1.00,3.48e-71,129,1259
79,AF-A0ABD1CZ18-F1-model_v6,1.00,7.95e-45,438,1634
80,AF-A0A915EHD0-F1-model_v6,1.00,1.20e-42,157,1367
81,AF-A0A132A596-F1-model_v6,1.00,4.01e-32,1363,2520
82,AF-A0AAV7IMW3-F1-model_v6,1.00,8.70e-47,1,1154
83,AF-A0A8S1WAT3-F1-model_v6,1.00,4.05e-29,1437,2519
84,AF-A0A3Q0JIM1-F1-model_v6,1.00,7.45e-44,1104,2425
85,AF-A0AA88GF15-F1-model_v6,1.00,3.76e-38,1333,2519
86,AF-A0AAF3J5Y6-F1-model_v6,1.00,3.27e-39,813,1811
87,AF-A0AAV6KZH3-F1-model_v6,1.00,3.15e-3,414,1649
88,AF-A0A9Q0IW25-F1-model_v6,1.00,6.25e-85,830,2521
89,AF-A0A818JV57-F1-model_v6,1.00,3.01e-39,1372,2519
90,AF-A0A4Y7L8I8-F1-model_v6,0.08,0.447,711,2146
91,AF-A0A158PKC0-F1-model_v6,1.00,2.04e-54,1151,2521
92,AF-A0A0B2VML1-F1-model_v6,1.00,2.29e-38,1629,2512
93,AF-A0A1I8EI99-F1-model_v6,1.00,7.78e-51,1,1335
94,AF-A0AA35WA03-F1-model_v6,1.00,2.82e-57,1156,2521
95,AF-A0A267FGS4-F1-model_v6,1.00,1.58e-45,1372,2520
96,AF-A0AAN9VLX4-F1-model_v6,1.00,8.79e-63,1395,2521
97,AF-A0A7R9CMV8-F1-model_v6,1.00,5.76e-35,1,1099
98,AF-A0A8C8DMC3-F1-model_v6,1.00,1.50e-86,147,1323
99,AF-A0ABD1CZ82-F1-model_v6,1.00,2.99e-56,1358,2521
100,AF-A0AA35RM69-F1-model_v6,1.00,2.84e-40,2,1109
101,AF-A0A5C6P1S9-F1-model_v6,1.00,1.84e-72,1372,2521
102,AF-A0A8B7DUG8-F1-model_v6,1.00,1.51e-57,1215,2521
103,AF-A0A183GYL3-F1-model_v6,1.00,3.93e-26,1143,2520
104,AF-A0A915M3J2-F1-model_v6,1.00,2.04e-35,1098,2496
105,AF-A0A818S591-F1-model_v6,1.00,1.66e-28,4,1371
106,AF-A0A226EKW9-F1-model_v6,1.00,1.27e-60,1313,2521
107,AF-A0A6F9ATM2-F1-model_v6,1.00,3.13e-39,1415,2374
108,AF-A0A8C7MFW4-F1-model_v6,1.00,2.36e-60,9,1322
109,AF-A0A819E6A4-F1-model_v6,1.00,2.00e-41,3,1065
110,AF-A0A1I8N034-F1-model_v6,1.00,1.61e-51,248,1386
111,AF-A0A0B7AR40-F1-model_v6,1.00,5.65e-67,1251,2521
112,AF-A0A069DX80-F1-model_v6,1.00,2.76e-44,626,1774
113,AF-A0A196SI25-F1-model_v6,1.00,1.08e-29,1484,2520
114,AF-A0A670I236-F1-model_v6,1.00,1.61e-70,165,1323
115,AF-A0A3Q1F967-F1-model_v6,1.00,3.76e-69,122,1348
116,AF-A0A4D9E3Z0-F1-model_v6,1.00,1.80e-78,1445,2521
117,AF-A0A418DDV9-F1-model_v6,1.00,1.02e-18,1382,2465
118,AF-A0A6P6HMM7-F1-model_v6,1.00,1.16e-70,44,2521
119,AF-A0AB34GA82-F1-model_v6,1.00,5.26e-64,280,1352
120,AF-A0A2G8KG58-F1-model_v6,1.00,9.51e-49,1416,2492
121,AF-A0A0N5CXE1-F1-model_v6,1.00,1.64e-31,1096,2520
122,AF-A0A3N0XTK6-F1-model_v6,1.00,7.21e-91,1443,2520
123,AF-A0A1I8J2S1-F1-model_v6,1.00,1.19e-35,1,1101
124,AF-M3TFI1-F1-model_v6,1.00,5.52e-16,374,1583
125,AF-J9EW84-F1-model_v6,1.00,1.51e-24,200,1742
126,AF-A0A401NZB4-F1-model_v6,1.00,2.54e-63,1,1111
127,AF-A0A9D4DY65-F1-model_v6,1.00,1.10e-54,548,1737
128,AF-A0A3B0K6R0-F1-model_v6,1.00,2.24e-44,227,1381
129,AF-A0A8B6XZ36-F1-model_v6,1.00,4.80e-55,1,1189
130,AF-A0A6V7VMH3-F1-model_v6,1.00,1.48e-37,792,1860
131,AF-A0A453EUB4-F1-model_v6,1.00,1.08e-29,1372,2520
132,AF-A0A0T6BCZ5-F1-model_v6,1.00,2.33e-56,207,1324
133,AF-A0A1I8GQH9-F1-model_v6,1.00,3.29e-29,1101,2185
134,AF-A0A5N3V507-F1-model_v6,1.00,9.36e-19,140,806
135,AF-A0A9P0P8I7-F1-model_v6,1.00,6.48e-52,413,1503
136,AF-W6U812-F1-model_v6,1.00,2.60e-33,107,1027
137,AF-K2NF10-F1-model_v6,1.00,6.38e-22,1141,2333
138,AF-E4YX63-F1-model_v6,1.00,5.31e-42,1,1109
139,AF-A0A9P0Q444-F1-model_v6,1.00,1.17e-36,1,1154
140,AF-A0AAD3N4L6-F1-model_v6,1.00,1.19e-66,998,2438
141,AF-A0AB34GB94-F1-model_v6,1.00,1.90e-63,1502,2520
142,AF-A0A9P0KJ22-F1-model_v6,1.00,4.44e-57,1362,2521
143,AF-A0A9Q1JA68-F1-model_v6,1.00,4.91e-56,752,1633
144,AF-A0A914N2I7-F1-model_v6,1.00,2.87e-44,1362,2442
145,AF-A0A6J3A8I7-F1-model_v6,1.00,2.71e-83,14,1147
146,AF-G3NS86-F1-model_v6,1.00,1.74e-56,649,1640
147,AF-A0A7R9CQG1-F1-model_v6,1.00,2.40e-40,1372,2374
148,AF-A0A819ZSB0-F1-model_v6,1.00,1.56e-15,555,1065
149,AF-A0A817ENN0-F1-model_v6,1.00,6.98e-24,13,1801
150,AF-A0A553R787-F1-model_v6,1.00,1.92e-72,1372,2521
151,AF-A0AAD5RB83-F1-model_v6,1.00,5.60e-39,1,1119
152,AF-A0AAW0NN53-F1-model_v6,1.00,2.33e-68,591,1685
153,AF-A0AAW0IWY1-F1-model_v6,1.00,1.65e-52,414,1248
154,AF-A0A7G2C012-F1-model_v6,1.00,6.03e-30,1504,2519
155,AF-A0A1S3HPU6-F1-model_v6,1.00,2.32e-61,1372,2521
156,AF-A0A1I8CPI5-F1-model_v6,1.00,5.89e-48,1312,2521
157,AF-A0AA36CH18-F1-model_v6,1.00,3.27e-39,43,1178
158,AF-A0A3P7E8S5-F1-model_v6,1.00,8.75e-21,1912,2519
159,AF-A0AAD7TBA8-F1-model_v6,1.00,6.60e-89,432,1476
160,AF-A0A0V1FX62-F1-model_v6,1.00,3.81e-42,58,1221
161,AF-A0A817PEB7-F1-model_v6,1.00,9.44e-28,178,1265
162,AF-A0A915AV10-F1-model_v6,1.00,1.06e-37,1,1065
163,AF-H2YLP9-F1-model_v6,1.00,4.76e-53,210,1322
164,AF-A0A0C9R8R9-F1-model_v6,1.00,2.25e-58,1477,2521
165,AF-A0A1S3QF89-F1-model_v6,1.00,9.45e-47,1372,2309
166,AF-A0A2G8LNX9-F1-model_v6,1.00,6.02e-61,1476,2521
167,AF-A0A915ALY6-F1-model_v6,1.00,5.69e-19,764,1815
168,AF-A0AAV4T1Y6-F1-model_v6,1.00,2.63e-42,1009,2108
169,AF-A0AAD9BN81-F1-model_v6,1.00,4.46e-33,660,1352
170,AF-A0A0N4WCJ0-F1-model_v6,1.00,8.27e-38,796,2055
171,AF-A0A914MN15-F1-model_v6,1.00,8.96e-31,790,1756
172,AF-A0A8S2R756-F1-model_v6,1.00,5.30e-16,1079,2057
173,AF-A0A0S7F270-F1-model_v6,1.00,5.09e-73,764,1764
174,AF-A0ABD0Y9M7-F1-model_v6,1.00,4.07e-43,526,1651
175,AF-A0A7R9I936-F1-model_v6,1.00,1.61e-44,1320,2521
176,AF-A0A815HH47-F1-model_v6,1.00,3.57e-41,2,1068
177,AF-A0A836CXX6-F1-model_v6,1.00,1.95e-14,221,2297
178,AF-A0A2H8TD61-F1-model_v6,1.00,1.04e-55,1372,2521
179,AF-A0A9N9MSI1-F1-model_v6,1.00,1.95e-33,1166,2290
180,AF-A0A0D6MDC8-F1-model_v6,1.00,1.06e-44,1375,2521
181,AF-A0A817GSN5-F1-model_v6,1.00,1.41e-16,557,1314
182,AF-A0A0V0ZU08-F1-model_v6,1.00,9.89e-42,845,1999
183,AF-A0A9J2Q5G7-F1-model_v6,1.00,6.32e-32,1429,2519
184,AF-A0A812U4U4-F1-model_v6,1.00,8.27e-19,1807,2515
185,AF-A0A5J4W070-F1-model_v6,1.00,5.09e-23,1447,2521
186,AF-A0A915KAT0-F1-model_v6,1.00,7.70e-54,1447,2521
187,AF-A0A672R5R8-F1-model_v6,1.00,1.64e-62,286,1322
188,AF-V3ZF50-F1-model_v6,1.00,4.37e-58,208,1323
189,AF-A0A7J5YJ68-F1-model_v6,1.00,1.07e-41,1270,2282
190,AF-A6IXL9-F1-model_v6,1.00,6.73e-76,1355,2521
191,AF-A0A1A7X1H1-F1-model_v6,1.00,3.72e-72,1504,2519
192,AF-A0A7S3VUF6-F1-model_v6,1.00,9.61e-8,1807,2195
193,AF-A0A6G1RNA9-F1-model_v6,1.00,6.11e-91,1541,2521
194,AF-A0A813RPE4-F1-model_v6,1.00,4.68e-35,3,887
195,AF-A0A4Z2BWV0-F1-model_v6,1.00,2.04e-54,1447,2348
196,AF-A0A914LGH4-F1-model_v6,1.00,6.09e-27,1151,2091
197,AF-A0A8S2PEM8-F1-model_v6,1.00,1.07e-34,667,1802
198,AF-A0A3P7U3X9-F1-model_v6,1.00,6.48e-33,1077,2247
199,AF-A0A7S3IKS3-F1-model_v6,1.00,6.90e-8,1443,2249
200,AF-A0A6S7I9M5-F1-model_v6,1.00,1.39e-57,1372,2521
201,AF-A0A397EUN1-F1-model_v6,1.00,4.58e-22,1797,2520
202,AF-A0A7E4ZUG3-F1-model_v6,1.00,1.11e-39,399,1386
203,AF-J9ER22-F1-model_v6,1.00,4.12e-21,1095,2343
204,AF-A0AAV3ANW8-F1-model_v6,1.00,1.30e-73,1576,2521
205,AF-A0A401SAX8-F1-model_v6,1.00,1.42e-51,96,999
206,AF-A0A158QCP8-F1-model_v6,1.00,2.28e-31,114,961
207,AF-A0A183K0Y5-F1-model_v6,1.00,4.34e-18,28,998
208,AF-A0A498LN81-F1-model_v6,1.00,2.12e-40,14,1322
209,AF-A0A8R7TVF6-F1-model_v6,1.00,7.11e-11,4,1127
210,AF-A0AAD4N178-F1-model_v6,1.00,1.47e-49,1444,2464
211,AF-A0A821N2H6-F1-model_v6,1.00,3.02e-53,1431,2521
212,AF-A0A4W5RTC8-F1-model_v6,1.00,9.57e-51,54,1323
213,AF-A0A1I8ILG3-F1-model_v6,1.00,2.62e-28,1,1101
214,AF-A0A8D8I353-F1-model_v6,1.00,2.92e-55,1477,2520
215,AF-A0A7S0IES8-F1-model_v6,1.00,1.83e-27,1669,2505
216,AF-A0A0A1U2R3-F1-model_v6,1.00,3.11e-30,1576,2489
217,AF-A0A2N9H8X9-F1-model_v6,1.00,2.54e-13,1153,2148
218,AF-A0A444UXD5-F1-model_v6,1.00,5.01e-24,977,1862
219,AF-A0A4Z2C651-F1-model_v6,1.00,3.78e-71,1577,2491
220,AF-A0A087T591-F1-model_v6,1.00,4.47e-40,1,929
221,AF-A0A0R3QQZ3-F1-model_v6,1.00,2.57e-17,1948,2515
222,AF-A0AAF3EMF3-F1-model_v6,1.00,1.84e-22,1087,1811
223,AF-A0AAV4H0F6-F1-model_v6,1.00,3.16e-60,1448,2521
224,AF-A0A6V7MAV2-F1-model_v6,1.00,3.09e-47,400,1381
225,AF-A0AA36C590-F1-model_v6,1.00,4.53e-25,5,962
226,AF-A0A553QNW5-F1-model_v6,1.00,4.45e-64,1652,2521
227,AF-A0A8S2MGE7-F1-model_v6,1.00,2.87e-37,1,957
228,AF-A0A0V0VEE4-F1-model_v6,1.00,1.11e-44,384,1322
229,AF-A0AAD3R0R7-F1-model_v6,1.00,1.08e-36,1,777
230,AF-A0A224YFY0-F1-model_v6,1.00,9.11e-61,1522,2519
231,AF-A0A7S0KAW6-F1-model_v6,1.00,6.69e-24,1957,2519
232,AF-A0A0P4W477-F1-model_v6,1.00,1.96e-47,1807,2521
233,AF-A0AAW2YN02-F1-model_v6,1.00,1.01e-35,1601,2517
234,AF-A0AAE0WCQ3-F1-model_v6,1.00,2.05e-61,1616,2520
235,AF-A0AAD4YFY2-F1-model_v6,1.00,1.73e-28,4,1186
236,AF-A0A817HKZ7-F1-model_v6,1.00,1.14e-21,1390,2521
237,AF-A0AAD7ZEB1-F1-model_v6,1.00,1.93e-55,1494,2478
238,3jac-assembly1_C,1.00,7.55e-52,1940,2518
239,AF-A0A812MT74-F1-model_v6,1.00,4.79e-17,1431,2371
240,AF-A0A6V7M8E3-F1-model_v6,1.00,2.24e-56,1663,2521
241,AF-A0A7S0DLL3-F1-model_v6,1.00,6.46e-26,1808,2519
242,AF-A0A2J7R0H1-F1-model_v6,1.00,3.86e-39,47,998
243,AF-A0A401T3H2-F1-model_v6,1.00,2.24e-44,301,1352
244,AF-A0A1S3QUK8-F1-model_v6,1.00,9.42e-21,1390,2055
245,AF-W8BRJ7-F1-model_v6,1.00,5.53e-54,1605,2521
246,AF-A0A8J2Q803-F1-model_v6,1.00,2.95e-33,1,996
247,AF-A0A813B2L5-F1-model_v6,1.00,6.20e-26,1675,2521
248,AF-A0A817EAU4-F1-model_v6,1.00,1.47e-30,2,1265
249,AF-A0A915E435-F1-model_v6,1.00,1.00e-26,399,1247
250,AF-A0A6G1RCQ3-F1-model_v6,1.00,1.83e-58,772,1634
251,AF-A0A8J2M1T6-F1-model_v6,1.00,1.67e-30,1453,2520
252,AF-A0A7S3Z6Q1-F1-model_v6,1.00,6.31e-25,1812,2519
253,AF-A0A6B2KXL2-F1-model_v6,1.00,9.14e-37,1690,2520
254,6bpz-assembly1_A,1.00,4.12e-82,1142,2518
255,AF-A0A653DWX2-F1-model_v6,1.00,4.32e-42,526,1408
256,AF-A0A8C4R4T6-F1-model_v6,1.00,3.30e-36,1,777
257,AF-A0A819E9B9-F1-model_v6,1.00,5.02e-31,1012,2229
258,AF-A0A3P3YLB6-F1-model_v6,1.00,3.07e-26,1807,2521
259,AF-A0A183T6D2-F1-model_v6,1.00,3.31e-24,110,712
260,AF-Q4RWW2-F1-model_v6,1.00,4.01e-51,524,1352
261,AF-N6U9E7-F1-model_v6,1.00,6.68e-55,1666,2521
262,AF-A0A817EMZ3-F1-model_v6,1.00,6.30e-37,1294,2348
263,AF-A0A8X6UBH9-F1-model_v6,1.00,2.37e-55,1622,2514
264,AF-A0A7R9AWQ2-F1-model_v6,1.00,2.41e-28,384,1065
265,AF-A0AAV2APG7-F1-model_v6,1.00,6.49e-40,335,1151
266,AF-A0A9D3LZ23-F1-model_v6,1.00,3.34e-71,1576,2521
267,AF-A0AAV2APD1-F1-model_v6,1.00,4.34e-37,1372,2439
268,AF-A0A7R9F909-F1-model_v6,1.00,2.37e-36,1929,2521
269,AF-A0A812CG58-F1-model_v6,1.00,3.40e-13,1929,2521
270,AF-A0A914GN85-F1-model_v6,1.00,4.32e-23,1,1041
271,AF-A0A060WVG4-F1-model_v6,1.00,7.13e-37,140,780
272,AF-A0A915E1L6-F1-model_v6,1.00,2.04e-28,1278,2176
273,A0A1L3KKV6_2,0.04,8.56e+0,2264,2348
274,AF-A0A7S1JBW4-F1-model_v6,0.03,0.391,575,2072
275,AF-A0A0P8XZA1-F1-model_v6,1.00,6.41e-36,431,1322
276,AF-A0A182G146-F1-model_v6,1.00,7.61e-38,438,1322
277,AF-A0A1E1IU37-F1-model_v6,1.00,2.49e-26,1679,2517
278,AF-G0NWW3-F1-model_v6,1.00,6.12e-22,11,774
279,AF-A0A314UCB2-F1-model_v6,1.00,1.21e-8,7,802
280,AF-A0A9X8DKL7-F1-model_v6,1.00,6.28e-11,1783,2348
281,AF-A0AAW1V3U4-F1-model_v6,1.00,8.36e-54,1667,2521
282,AF-A0AAW1BSN8-F1-model_v6,1.00,1.99e-39,1012,2521
283,AF-A0AAW2YSQ4-F1-model_v6,1.00,1.16e-32,1691,2517
284,AF-A0A0C2GXU0-F1-model_v6,1.00,5.15e-39,1632,2521
285,AF-A0A914QQ89-F1-model_v6,1.00,5.03e-38,1431,2376
286,AF-A0A1I8CWF5-F1-model_v6,1.00,2.34e-32,1337,2328
287,AF-A0AAV2JTX8-F1-model_v6,1.00,1.69e-34,1808,2521
288,AF-A0A1S3M1P2-F1-model_v6,1.00,1.24e-35,303,987
289,AF-A0A5J4XG18-F1-model_v6,1.00,2.92e-5,980,1656
290,AF-E3NQL2-F1-model_v6,1.00,6.42e-24,710,1448
291,AF-A0AA36HJN2-F1-model_v6,1.00,1.72e-21,1722,2521
292,AF-A0A653DFQ5-F1-model_v6,1.00,7.02e-26,1,967
293,AF-A0A2H1WK71-F1-model_v6,1.00,6.22e-52,1703,2520
294,AF-A0A8S2QNQ3-F1-model_v6,1.00,2.52e-30,967,1846
295,AF-A0A0L7KQS8-F1-model_v6,1.00,7.49e-27,55,1212
296,AF-A0A0D2JHL8-F1-model_v6,1.00,4.33e-11,1341,2310
297,AF-A0A7S0DDN7-F1-model_v6,1.00,9.82e-21,1957,2519
298,AF-A0A820JUF7-F1-model_v6,1.00,9.30e-17,2,708
299,AF-A0A7S3SFH2-F1-model_v6,1.00,2.13e-4,1844,2209
300,AF-A0A7R9KTM4-F1-model_v6,1.00,4.15e-49,1721,2519
301,AF-A0ABD0WTF1-F1-model_v6,1.00,3.99e-37,1,712
302,AF-A0AAR5PGD9-F1-model_v6,1.00,1.10e-35,1576,2414
303,AF-A0AAW2SHB8-F1-model_v6,1.00,7.81e-27,1709,2520
304,AF-A0AAV9R8A6-F1-model_v6,1.00,1.04e-55,1,832
305,AF-A0A0K0FWJ2-F1-model_v6,1.00,1.15e-23,172,934
306,AF-A0A498LX91-F1-model_v6,1.00,1.11e-46,1456,2348
307,AF-A0A653DI00-F1-model_v6,1.00,1.92e-41,1666,2520
308,AF-A0A821T6Y7-F1-model_v6,1.00,4.63e-38,548,1375
309,AF-M4BPS6-F1-model_v6,1.00,2.80e-24,1783,2519
310,AF-A0A267FZ22-F1-model_v6,1.00,1.78e-24,4,782
311,AF-N6TAG7-F1-model_v6,1.00,4.22e-22,578,1640
312,AF-A0A060Y0R6-F1-model_v6,1.00,5.38e-65,1720,2520
313,AF-A0A067RJC4-F1-model_v6,1.00,2.17e-41,1607,2512
314,AF-A0A915ALZ1-F1-model_v6,1.00,3.17e-17,557,1559
315,AF-A0A7S3SFH1-F1-model_v6,1.00,1.25e-18,1844,2470
316,AF-A0A183LV05-F1-model_v6,1.00,1.42e-18,335,941
317,AF-A0A183TW26-F1-model_v6,1.00,2.38e-31,335,1221
318,AF-A0A0Q9X2B4-F1-model_v6,1.00,1.23e-31,1444,2431
319,AF-A0A6J1YUZ4-F1-model_v6,1.00,1.88e-47,1373,2283
320,AF-A0A3R7WY44-F1-model_v6,1.00,1.01e-21,1852,2519
321,AF-A0A653DJD9-F1-model_v6,1.00,2.50e-21,1499,2520
322,AF-A0A0Q9W7V8-F1-model_v6,1.00,4.34e-6,1312,1838
323,AF-V3ZZC9-F1-model_v6,1.00,1.35e-59,1690,2521
324,AF-A0A7R9AX44-F1-model_v6,1.00,1.83e-8,15,558
325,AF-A0A653DW18-F1-model_v6,1.00,9.61e-27,1372,2150
326,AF-A0A151PJG2-F1-model_v6,1.00,6.15e-55,1410,2169
327,AF-A0A0C2CLK3-F1-model_v6,1.00,2.49e-19,1570,2119
328,AF-A0A418AF49-F1-model_v6,1.00,1.83e-20,1807,2482
329,AF-A0A8S2P9Z6-F1-model_v6,1.00,1.53e-16,31,872
330,AF-A0A914FRR9-F1-model_v6,1.00,4.29e-40,1631,2436
331,AF-A0AAD3M1G6-F1-model_v6,1.00,9.30e-36,1,717
332,AF-V8NFU7-F1-model_v6,1.00,2.70e-50,1783,2521
333,AF-A0A9P0GMA9-F1-model_v6,1.00,6.04e-18,39,998
334,AF-A0A060X2S1-F1-model_v6,1.00,1.54e-49,1042,1803
335,AF-A0A819HK95-F1-model_v6,1.00,2.38e-24,1079,2107
336,AF-G9L1K3-F1-model_v6,1.00,8.46e-70,1528,2308
337,AF-B7PSR6-F1-model_v6,1.00,3.50e-35,562,1322
338,AF-A0A6G3MDU1-F1-model_v6,1.00,2.14e-18,1422,2313
339,AF-A0AAV2LVJ1-F1-model_v6,1.00,2.40e-33,2055,2521
340,AF-A0A812QIN9-F1-model_v6,1.00,1.29e-21,1880,2521
341,AF-A0A183T903-F1-model_v6,1.00,1.63e-29,1983,2521
342,AF-A0A7S1I0S6-F1-model_v6,1.00,4.67e-28,1680,2518
343,AF-A0A8J4TZQ9-F1-model_v6,1.00,2.58e-62,1653,2438
344,AF-A0A0D8XKP2-F1-model_v6,1.00,5.88e-10,22,732
345,AF-A0AAD4R722-F1-model_v6,1.00,1.41e-30,1811,2521
346,AF-A0A2A2M0E5-F1-model_v6,1.00,5.50e-21,1,710
347,AF-A0AAD6NPW5-F1-model_v6,1.00,1.72e-7,7,778
348,AF-A0A819H799-F1-model_v6,1.00,7.37e-28,4,711
349,AF-A0AAW2WBM4-F1-model_v6,1.00,4.13e-16,1476,2520
350,AF-A0A3N0YZV0-F1-model_v6,1.00,9.97e-32,43,712
351,AF-A0A821AY38-F1-model_v6,1.00,7.22e-22,1080,2017
352,AF-A0A1I8GRR1-F1-model_v6,1.00,2.75e-18,210,998
353,AF-A0A1S3M010-F1-model_v6,1.00,3.92e-38,895,1556
354,AF-A0AAE9ADI6-F1-model_v6,1.00,3.81e-23,1,737
355,AF-A0A0D6MA53-F1-model_v6,1.00,1.44e-22,676,1401
356,AF-A0AAW0NJJ2-F1-model_v6,1.00,1.83e-58,1720,2519
