,orginalPDB,daliPDB
56,AF-A0A0M3J5J3-F1-model_v6.pdb,aabu
57,AF-A0A0M3K218-F1-model_v6.pdb,aabv
58,AF-A0A0M3KAN0-F1-model_v6.pdb,aabw
59,AF-A0A0N4U6X7-F1-model_v6.pdb,aabx
60,AF-A0A0N4U6X9-F1-model_v6.pdb,aaby
61,AF-A0A0N4WCJ0-F1-model_v6.pdb,aabz
62,AF-A0A0N4WCJ1-F1-model_v6.pdb,aab0
63,AF-A0A0N5AVK8-F1-model_v6.pdb,aab1
64,AF-A0A0N5B170-F1-model_v6.pdb,aab2
65,AF-A0A0N5DC76-F1-model_v6.pdb,aab3
66,AF-A0A0P7W6D9-F1-model_v6.pdb,aab4
67,AF-A0A0P8XZA1-F1-model_v6.pdb,aab5
68,AF-A0A0Q5UK93-F1-model_v6.pdb,aab6
69,AF-A0A0Q9WVM2-F1-model_v6.pdb,aab7
70,AF-A0A0Q9WWH6-F1-model_v6.pdb,aab8
71,AF-A0A0R1E8N1-F1-model_v6.pdb,aab9
72,AF-A0A0R3TBA5-F1-model_v6.pdb,aaca
73,AF-A0A0R3VWS1-F1-model_v6.pdb,aacb
74,AF-A0A0R3WGG5-F1-model_v6.pdb,aacc
75,AF-A0A0S7F270-F1-model_v6.pdb,aacd
76,AF-A0A0T6BBD2-F1-model_v6.pdb,aace
77,AF-A0A0T6BCZ5-F1-model_v6.pdb,aacf
78,AF-A0A0V0VEE4-F1-model_v6.pdb,aacg
79,AF-A0A0V0ZU08-F1-model_v6.pdb,aach
80,AF-A0A0V1E9W0-F1-model_v6.pdb,aaci
81,AF-A0A0V1FX62-F1-model_v6.pdb,aacj
82,AF-A0A126GUQ2-F1-model_v6.pdb,aack
83,AF-A0A132A559-F1-model_v6.pdb,aacl
84,AF-A0A147BQN2-F1-model_v6.pdb,aacm
85,AF-A0A151LZN4-F1-model_v6.pdb,aacn
86,AF-A0A151MZ28-F1-model_v6.pdb,aaco
87,AF-A0A151P1F8-F1-model_v6.pdb,aacp
88,AF-A0A151P375-F1-model_v6.pdb,aacq
89,AF-A0A158PIP0-F1-model_v6.pdb,aacr
90,AF-A0A158PKC0-F1-model_v6.pdb,aacs
91,AF-A0A158Q5L0-F1-model_v6.pdb,aact
92,AF-A0A158Q727-F1-model_v6.pdb,aacu
93,AF-A0A158QCP7-F1-model_v6.pdb,aacv
94,AF-A0A158QCP8-F1-model_v6.pdb,aacw
95,AF-A0A158QJ81-F1-model_v6.pdb,aacx
96,AF-A0A158QWY7-F1-model_v6.pdb,aacy
97,AF-A0A182G145-F1-model_v6.pdb,aacz
98,AF-A0A182G146-F1-model_v6.pdb,aac0
99,AF-A0A182SNB2-F1-model_v6.pdb,aac1
100,AF-A0A183AS46-F1-model_v6.pdb,aac2
101,AF-A0A183CAA2-F1-model_v6.pdb,aac3
102,AF-A0A183DPV4-F1-model_v6.pdb,aac4
103,AF-A0A183H1L2-F1-model_v6.pdb,aac5
104,AF-A0A183HEN9-F1-model_v6.pdb,aac6
105,AF-A0A183HFL1-F1-model_v6.pdb,aac7
106,AF-A0A183I937-F1-model_v6.pdb,aac8
107,AF-A0A183K0Y5-F1-model_v6.pdb,aac9
108,AF-A0A183LV05-F1-model_v6.pdb,aada
109,AF-A0A183T6D2-F1-model_v6.pdb,aadb
110,AF-A0A183TW26-F1-model_v6.pdb,aadc
111,AF-A0A183VD39-F1-model_v6.pdb,aadd
112,AF-A0A1B0CBS1-F1-model_v6.pdb,aade
113,AF-A0A1B0CBS2-F1-model_v6.pdb,aadf
114,AF-A0A1B6EJ04-F1-model_v6.pdb,aadg
115,AF-A0A1B6H8Z1-F1-model_v6.pdb,aadh
116,AF-A0A1B6HUV1-F1-model_v6.pdb,aadi
117,AF-A0A1B6J0B9-F1-model_v6.pdb,aadj
118,AF-A0A1D2MXR2-F1-model_v6.pdb,aadk
119,AF-A0A1E1VZ39-F1-model_v6.pdb,aadl
120,AF-A0A1I7S5E3-F1-model_v6.pdb,aadm
121,AF-A0A1I8ARR4-F1-model_v6.pdb,aadn
122,AF-A0A1I8B460-F1-model_v6.pdb,aado
123,AF-A0A1I8EI99-F1-model_v6.pdb,aadp
124,AF-A0A1I8GRR1-F1-model_v6.pdb,aadq
125,AF-A0A1I8HWD2-F1-model_v6.pdb,aadr
126,AF-A0A1I8ILG3-F1-model_v6.pdb,aads
127,AF-A0A1I8ILN8-F1-model_v6.pdb,aadt
128,AF-A0A1I8IZC9-F1-model_v6.pdb,aadu
129,AF-A0A1I8J2S1-F1-model_v6.pdb,aadv
130,AF-A0A1I8N034-F1-model_v6.pdb,aadw
131,AF-A0A1S3HSM4-F1-model_v6.pdb,aadx
132,AF-A0A1S3M010-F1-model_v6.pdb,aady
133,AF-A0A1S3M1P2-F1-model_v6.pdb,aadz
134,AF-A0A1S3QTI3-F1-model_v6.pdb,aad0
135,AF-A0A1S3QV79-F1-model_v6.pdb,aad1
136,AF-A0A1S4EIE7-F1-model_v6.pdb,aad2
137,AF-A0A1V4J962-F1-model_v6.pdb,aad3
138,AF-A0A1V9Y3U5-F1-model_v6.pdb,aad4
139,AF-A0A1W0X1X0-F1-model_v6.pdb,aad5
140,AF-A0A1W7R470-F1-model_v6.pdb,aad6
141,AF-A0A1Y3AZX3-F1-model_v6.pdb,aad7
142,AF-A0A1Y3B0P7-F1-model_v6.pdb,aad8
143,AF-A0A212CB16-F1-model_v6.pdb,aad9
144,AF-A0A226EIU0-F1-model_v6.pdb,aaea
145,AF-A0A226NGJ2-F1-model_v6.pdb,aaeb
146,AF-A0A267FZ22-F1-model_v6.pdb,aaec
147,AF-A0A2A2KLA2-F1-model_v6.pdb,aaed
148,AF-A0A2A2M0E5-F1-model_v6.pdb,aaee
149,AF-A0A2G8LNW3-F1-model_v6.pdb,aaef
150,AF-A0A2G8LNY0-F1-model_v6.pdb,aaeg
151,AF-A0A2G9P7X7-F1-model_v6.pdb,aaeh
152,AF-A0A2G9QGA6-F1-model_v6.pdb,aaei
153,AF-A0A2H1X0Q2-F1-model_v6.pdb,aaej
154,AF-A0A2J7R0H1-F1-model_v6.pdb,aaek
155,AF-A0A2J7ZQK8-F1-model_v6.pdb,aael
156,AF-A0A2J8RFQ9-F1-model_v6.pdb,aaem
157,AF-A0A2K3NPR9-F1-model_v6.pdb,aaen
158,AF-A0A2K3PAI8-F1-model_v6.pdb,aaeo
159,AF-A0A2P2M0U6-F1-model_v6.pdb,aaep
160,AF-A0A2P4S4L5-F1-model_v6.pdb,aaeq
161,AF-A0A2P4SQD4-F1-model_v6.pdb,aaer
162,AF-A0A2P4XYM3-F1-model_v6.pdb,aaes
163,AF-A0A2S2NEI4-F1-model_v6.pdb,aaet
164,AF-A0A2S2NRA1-F1-model_v6.pdb,aaeu
165,AF-A0A2Y9GZJ7-F1-model_v6.pdb,aaev
166,AF-A0A314UCB2-F1-model_v6.pdb,aaew
167,AF-A0A315VGY0-F1-model_v6.pdb,aaex
168,AF-A0A340Y7Z5-F1-model_v6.pdb,aaey
169,AF-A0A368GKK6-F1-model_v6.pdb,aaez
170,AF-A0A368GKL3-F1-model_v6.pdb,aae0
171,AF-A0A368GKN7-F1-model_v6.pdb,aae1
172,AF-A0A396ZVX2-F1-model_v6.pdb,aae2
173,AF-A0A397BN74-F1-model_v6.pdb,aae3
174,AF-A0A397F5V6-F1-model_v6.pdb,aae4
175,AF-A0A397KV94-F1-model_v6.pdb,aae5
176,AF-A0A3B0K6R0-F1-model_v6.pdb,aae6
177,AF-A0A3B3CX11-F1-model_v6.pdb,aae7
178,AF-A0A3B3YH69-F1-model_v6.pdb,aae8
179,AF-A0A3B4BM33-F1-model_v6.pdb,aae9
180,AF-A0A3B5M9M3-F1-model_v6.pdb,aafa
181,AF-A0A3M6UV11-F1-model_v6.pdb,aafb
182,AF-A0A3M7SW70-F1-model_v6.pdb,aafc
183,AF-A0A3N0XQA4-F1-model_v6.pdb,aafd
184,AF-A0A3N0YZV0-F1-model_v6.pdb,aafe
185,AF-A0A3P6TBY3-F1-model_v6.pdb,aaff
186,AF-A0A3P7D5Q0-F1-model_v6.pdb,aafg
187,AF-A0A3P7FGZ1-F1-model_v6.pdb,aafh
188,AF-A0A3P7NVB9-F1-model_v6.pdb,aafi
189,AF-A0A3P7U3X9-F1-model_v6.pdb,aafj
190,AF-A0A3Q0J524-F1-model_v6.pdb,aafk
191,AF-A0A3Q1EIG3-F1-model_v6.pdb,aafl
192,AF-A0A3Q1F967-F1-model_v6.pdb,aafm
193,AF-A0A3Q2Y0W9-F1-model_v6.pdb,aafn
194,AF-A0A3Q2YRV2-F1-model_v6.pdb,aafo
195,AF-A0A3Q3G502-F1-model_v6.pdb,aafp
196,AF-A0A3R6YUM3-F1-model_v6.pdb,aafq
197,AF-A0A3R6Z4T7-F1-model_v6.pdb,aafr
198,AF-A0A3S1BPS2-F1-model_v6.pdb,aafs
199,AF-A0A3S1GYC3-F1-model_v6.pdb,aaft
200,AF-A0A401NZB4-F1-model_v6.pdb,aafu
201,AF-A0A401SAX8-F1-model_v6.pdb,aafv
202,AF-A0A401T3H2-F1-model_v6.pdb,aafw
203,AF-A0A418B1K8-F1-model_v6.pdb,aafx
204,AF-A0A438KGW5-F1-model_v6.pdb,aafy
205,AF-A0A443SKC9-F1-model_v6.pdb,aafz
206,AF-A0A444UXD5-F1-model_v6.pdb,aaf0
207,AF-A0A445E8M2-F1-model_v6.pdb,aaf1
208,AF-A0A453EU98-F1-model_v6.pdb,aaf2
209,AF-A0A480KZG1-F1-model_v6.pdb,aaf3
210,AF-A0A482RRZ8-F1-model_v6.pdb,aaf4
211,AF-A0A484D665-F1-model_v6.pdb,aaf5
212,AF-A0A498LN81-F1-model_v6.pdb,aaf6
213,AF-A0A4C1UY82-F1-model_v6.pdb,aaf7
214,AF-A0A4D9EAT4-F1-model_v6.pdb,aaf8
215,AF-A0A4E9EUW2-F1-model_v6.pdb,aaf9
216,AF-A0A4E9F501-F1-model_v6.pdb,aaga
217,AF-A0A4E9FEN3-F1-model_v6.pdb,aagb
218,AF-A0A4U5LX43-F1-model_v6.pdb,aagc
219,AF-A0A4U5LX49-F1-model_v6.pdb,aagd
220,AF-A0A4U5LX52-F1-model_v6.pdb,aage
221,AF-A0A4U5LX63-F1-model_v6.pdb,aagf
222,AF-A0A4U5PAW8-F1-model_v6.pdb,aagg
223,AF-A0A4U5VGN9-F1-model_v6.pdb,aagh
224,AF-A0A4W5RTC8-F1-model_v6.pdb,aagi
225,AF-A0A4Y2N4B1-F1-model_v6.pdb,aagj
226,AF-A0A4Y2T832-F1-model_v6.pdb,aagk
227,AF-A0A4Z2ELG7-F1-model_v6.pdb,aagl
228,AF-A0A4Z2JFU7-F1-model_v6.pdb,aagm
229,AF-A0A4Z2JGX2-F1-model_v6.pdb,aagn
230,AF-A0A556V194-F1-model_v6.pdb,aago
231,AF-A0A556VCH7-F1-model_v6.pdb,aagp
232,AF-A0A5D2DZ73-F1-model_v6.pdb,aagq
233,AF-A0A5E4QNF1-F1-model_v6.pdb,aagr
234,AF-A0A5J4XG18-F1-model_v6.pdb,aags
235,AF-A0A5K0XSE7-F1-model_v6.pdb,aagt
236,AF-A0A5N3V507-F1-model_v6.pdb,aagu
237,AF-A0A5N4CHM3-F1-model_v6.pdb,aagv
238,AF-A0A5S6Q588-F1-model_v6.pdb,aagw
239,AF-A0A653DFQ5-F1-model_v6.pdb,aagx
240,AF-A0A653DHE2-F1-model_v6.pdb,aagy
241,AF-A0A653DWX2-F1-model_v6.pdb,aagz
242,AF-A0A668U3Y2-F1-model_v6.pdb,aag0
243,AF-A0A670I236-F1-model_v6.pdb,aag1
244,AF-A0A672R5R8-F1-model_v6.pdb,aag2
245,AF-A0A673AB28-F1-model_v6.pdb,aag3
246,AF-A0A6A4LSQ3-F1-model_v6.pdb,aag4
247,AF-A0A6A4QPP6-F1-model_v6.pdb,aag5
248,AF-A0A6A4S7Z5-F1-model_v6.pdb,aag6
249,AF-A0A6A4WMD7-F1-model_v6.pdb,aag7
250,AF-A0A6A4WVZ2-F1-model_v6.pdb,aag8
251,AF-A0A6A5AZS5-F1-model_v6.pdb,aag9
252,AF-A0A6A5DPM4-F1-model_v6.pdb,aaha
253,AF-A0A6B0S6J7-F1-model_v6.pdb,aahb
254,AF-A0A6B0SBU8-F1-model_v6.pdb,aahc
255,AF-A0A6B2EFU6-F1-model_v6.pdb,aahd
256,AF-A0A6F9ATH3-F1-model_v6.pdb,aahe
257,AF-A0A6F9BY74-F1-model_v6.pdb,aahf
258,AF-A0A6F9CLE6-F1-model_v6.pdb,aahg
259,AF-A0A6F9CMR8-F1-model_v6.pdb,aahh
260,AF-A0A6G0YNA4-F1-model_v6.pdb,aahi
261,AF-A0A6G1QMZ4-F1-model_v6.pdb,aahj
262,AF-A0A6G1RCQ3-F1-model_v6.pdb,aahk
263,AF-A0A6H5HQ23-F1-model_v6.pdb,aahl
264,AF-A0A6I9MRK6-F1-model_v6.pdb,aahm
265,AF-A0A6I9MZJ5-F1-model_v6.pdb,aahn
266,AF-A0A6I9MZX9-F1-model_v6.pdb,aaho
267,AF-A0A6I9N054-F1-model_v6.pdb,aahp
268,AF-A0A6I9NJB4-F1-model_v6.pdb,aahq
269,AF-A0A6I9PNS9-F1-model_v6.pdb,aahr
270,AF-A0A6I9Z0X9-F1-model_v6.pdb,aahs
271,AF-A0A6J2YXD6-F1-model_v6.pdb,aaht
272,AF-A0A6J3A8I7-F1-model_v6.pdb,aahu
273,AF-A0A6J8CMV1-F1-model_v6.pdb,aahv
274,AF-A0A6M2D0W9-F1-model_v6.pdb,aahw
275,AF-A0A6M2DBF2-F1-model_v6.pdb,aahx
276,AF-A0A6P4ED45-F1-model_v6.pdb,aahy
277,AF-A0A6P4F8A0-F1-model_v6.pdb,aahz
278,AF-A0A6P6HMM7-F1-model_v6.pdb,aah0
279,AF-A0A6P8IR92-F1-model_v6.pdb,aah1
280,AF-A0A6P8KEP4-F1-model_v6.pdb,aah2
281,AF-A0A6S7J1J6-F1-model_v6.pdb,aah3
282,AF-A0A6V7M724-F1-model_v6.pdb,aah4
283,AF-A0A6V7MAV2-F1-model_v6.pdb,aah5
284,AF-A0A6V7NTB9-F1-model_v6.pdb,aah6
285,AF-A0A6V7VMH3-F1-model_v6.pdb,aah7
286,AF-A0A6V7WRF5-F1-model_v6.pdb,aah8
287,AF-A0A7E4ZUG3-F1-model_v6.pdb,aah9
288,AF-A0A7F8RLG2-F1-model_v6.pdb,aaia
289,AF-A0A7I8V5E3-F1-model_v6.pdb,aaib
290,AF-A0A7J0GSB1-F1-model_v6.pdb,aaic
291,AF-A0A7J5YIN3-F1-model_v6.pdb,aaid
292,AF-A0A7J6HLB8-F1-model_v6.pdb,aaie
293,AF-A0A7J7JSE9-F1-model_v6.pdb,aaif
294,AF-A0A7J8CKB3-F1-model_v6.pdb,aaig
295,AF-A0A7J8DK34-F1-model_v6.pdb,aaih
296,AF-A0A7J8RVE4-F1-model_v6.pdb,aaii
297,AF-A0A7K4M2A1-F1-model_v6.pdb,aaij
298,AF-A0A7K4VUI6-F1-model_v6.pdb,aaik
299,AF-A0A7K9DJG0-F1-model_v6.pdb,aail
300,AF-A0A7L0N4B7-F1-model_v6.pdb,aaim
301,AF-A0A7L0XZD8-F1-model_v6.pdb,aain
302,AF-A0A7L1ZE62-F1-model_v6.pdb,aaio
303,AF-A0A7R8ZB90-F1-model_v6.pdb,aaip
304,AF-A0A7R8ZE57-F1-model_v6.pdb,aaiq
305,AF-A0A7R9AWQ2-F1-model_v6.pdb,aair
306,AF-A0A7R9AX44-F1-model_v6.pdb,aais
307,AF-A0A7R9CMV8-F1-model_v6.pdb,aait
308,AF-A0A7R9GZC7-F1-model_v6.pdb,aaiu
309,AF-A0A7R9L235-F1-model_v6.pdb,aaiv
310,AF-A0A7R9P290-F1-model_v6.pdb,aaiw
311,AF-A0A7S0DLK8-F1-model_v6.pdb,aaix
312,AF-A0A7S0GZM8-F1-model_v6.pdb,aaiy
313,AF-A0A7S0SD32-F1-model_v6.pdb,aaiz
314,AF-A0A7S1J956-F1-model_v6.pdb,aai0
315,AF-A0A7S1JBW4-F1-model_v6.pdb,aai1
316,AF-A0A7S1NIG2-F1-model_v6.pdb,aai2
317,AF-A0A7S3ZD25-F1-model_v6.pdb,aai3
318,AF-A0A804N3J1-F1-model_v6.pdb,aai4
319,AF-A0A811UNW6-F1-model_v6.pdb,aai5
320,AF-A0A812QCM1-F1-model_v6.pdb,aai6
321,AF-A0A813RPE4-F1-model_v6.pdb,aai7
322,AF-A0A815HH47-F1-model_v6.pdb,aai8
323,AF-A0A817EAU4-F1-model_v6.pdb,aai9
324,AF-A0A817ENN0-F1-model_v6.pdb,aaja
325,AF-A0A817GSN5-F1-model_v6.pdb,aajb
326,AF-A0A817HAY4-F1-model_v6.pdb,aajc
327,AF-A0A817HKZ7-F1-model_v6.pdb,aajd
328,AF-A0A817LVL9-F1-model_v6.pdb,aaje
329,AF-A0A817NR70-F1-model_v6.pdb,aajf
330,AF-A0A817PEB7-F1-model_v6.pdb,aajg
331,AF-A0A817XFG8-F1-model_v6.pdb,aajh
332,AF-A0A818S591-F1-model_v6.pdb,aaji
333,AF-A0A819E6A4-F1-model_v6.pdb,aajj
334,AF-A0A819H799-F1-model_v6.pdb,aajk
335,AF-A0A819HCB6-F1-model_v6.pdb,aajl
336,AF-A0A819ZSB0-F1-model_v6.pdb,aajm
337,AF-A0A819ZWP4-F1-model_v6.pdb,aajn
338,AF-A0A820AQZ5-F1-model_v6.pdb,aajo
339,AF-A0A820JUF7-F1-model_v6.pdb,aajp
340,AF-A0A820KUL4-F1-model_v6.pdb,aajq
341,AF-A0A820RJX2-F1-model_v6.pdb,aajr
342,AF-A0A820W1M7-F1-model_v6.pdb,aajs
343,AF-A0A820WYB2-F1-model_v6.pdb,aajt
344,AF-A0A821AY38-F1-model_v6.pdb,aaju
345,AF-A0A821T6Y7-F1-model_v6.pdb,aajv
346,AF-A0A821TR04-F1-model_v6.pdb,aajw
347,AF-A0A822ATN0-F1-model_v6.pdb,aajx
348,AF-A0A822F568-F1-model_v6.pdb,aajy
349,AF-A0A822FID9-F1-model_v6.pdb,aajz
350,AF-A0A835TXX3-F1-model_v6.pdb,aaj0
351,AF-A0A835U5U2-F1-model_v6.pdb,aaj1
352,AF-A0A835ZIV2-F1-model_v6.pdb,aaj2
353,AF-A0A852EBI6-F1-model_v6.pdb,aaj3
354,AF-A0A8B6XM53-F1-model_v6.pdb,aaj4
355,AF-A0A8B6XZ36-F1-model_v6.pdb,aaj5
356,AF-A0A8B7QJD2-F1-model_v6.pdb,aaj6
357,AF-A0A8B9S359-F1-model_v6.pdb,aaj7
358,AF-A0A8C0HRZ2-F1-model_v6.pdb,aaj8
359,AF-A0A8C0UDY1-F1-model_v6.pdb,aaj9
360,AF-A0A8C1V2T1-F1-model_v6.pdb,aaka
361,AF-A0A8C2B9A3-F1-model_v6.pdb,aakb
362,AF-A0A8C2YS04-F1-model_v6.pdb,aakc
363,AF-A0A8C4Q810-F1-model_v6.pdb,aakd
364,AF-A0A8C4R4T6-F1-model_v6.pdb,aake
365,AF-A0A8C5QND5-F1-model_v6.pdb,aakf
366,AF-A0A8C6UCF1-F1-model_v6.pdb,aakg
367,AF-A0A8C6VJD5-F1-model_v6.pdb,aakh
368,AF-A0A8C7MFW4-F1-model_v6.pdb,aaki
369,AF-A0A8C8DMC3-F1-model_v6.pdb,aakj
370,AF-A0A8C9G456-F1-model_v6.pdb,aakk
371,AF-A0A8C9Q8C8-F1-model_v6.pdb,aakl
372,AF-A0A8C9S4R7-F1-model_v6.pdb,aakm
373,AF-A0A8D8NGZ5-F1-model_v6.pdb,aakn
374,AF-A0A8D8ZF43-F1-model_v6.pdb,aako
375,AF-A0A8D9BT13-F1-model_v6.pdb,aakp
376,AF-A0A8D9EBX1-F1-model_v6.pdb,aakq
377,AF-A0A8E0RQW4-F1-model_v6.pdb,aakr
378,AF-A0A8J2LZ33-F1-model_v6.pdb,aaks
379,AF-A0A8J2Q803-F1-model_v6.pdb,aakt
380,AF-A0A8J4BIJ6-F1-model_v6.pdb,aaku
381,AF-A0A8J4UDR6-F1-model_v6.pdb,aakv
382,AF-A0A8J4UTM1-F1-model_v6.pdb,aakw
383,AF-A0A8J5CWB5-F1-model_v6.pdb,aakx
384,AF-A0A8J8P9Q6-F1-model_v6.pdb,aaky
385,AF-A0A8K0GG67-F1-model_v6.pdb,aakz
386,AF-A0A8K0GGP8-F1-model_v6.pdb,aak0
387,AF-A0A8N7TDV6-F1-model_v6.pdb,aak1
388,AF-A0A8R1DPN1-F1-model_v6.pdb,aak2
389,AF-A0A8R1TRS9-F1-model_v6.pdb,aak3
390,AF-A0A8R1U0Y7-F1-model_v6.pdb,aak4
391,AF-A0A8R1XXW9-F1-model_v6.pdb,aak5
392,AF-A0A8R7PSZ9-F1-model_v6.pdb,aak6
393,AF-A0A8R7TVF6-F1-model_v6.pdb,aak7
394,AF-A0A8R7TW81-F1-model_v6.pdb,aak8
395,AF-A0A8S1DEM2-F1-model_v6.pdb,aak9
396,AF-A0A8S2EQE7-F1-model_v6.pdb,aala
397,AF-A0A8S2LA96-F1-model_v6.pdb,aalb
398,AF-A0A8S2MGE7-F1-model_v6.pdb,aalc
399,AF-A0A8S2P9Z6-F1-model_v6.pdb,aald
400,AF-A0A8S2PEM8-F1-model_v6.pdb,aale
401,AF-A0A8S2QNQ3-F1-model_v6.pdb,aalf
402,AF-A0A8S3RJ36-F1-model_v6.pdb,aalg
403,AF-A0A8S3RJQ7-F1-model_v6.pdb,aalh
404,AF-A0A8S3URJ4-F1-model_v6.pdb,aali
405,AF-A0A8S3YUI8-F1-model_v6.pdb,aalj
406,AF-A0A8S3YZ24-F1-model_v6.pdb,aalk
407,AF-A0A8S3YZY5-F1-model_v6.pdb,aall
408,AF-A0A8S3Z5N8-F1-model_v6.pdb,aalm
409,AF-A0A8S3Z5V8-F1-model_v6.pdb,aaln
410,AF-A0A8S4BYU1-F1-model_v6.pdb,aalo
411,AF-A0A8S9ZM53-F1-model_v6.pdb,aalp
412,AF-A0A8T0DFV0-F1-model_v6.pdb,aalq
413,AF-A0A8T2NHG6-F1-model_v6.pdb,aalr
414,AF-A0A8T2NQ65-F1-model_v6.pdb,aals
415,AF-A0A8T2NTM8-F1-model_v6.pdb,aalt
416,AF-A0A8T3D2L5-F1-model_v6.pdb,aalu
417,AF-A0A8X7YH43-F1-model_v6.pdb,aalv
418,AF-A0A8X8BPN0-F1-model_v6.pdb,aalw
419,AF-A0A913WTW8-F1-model_v6.pdb,aalx
420,AF-A0A914GN85-F1-model_v6.pdb,aaly
421,AF-A0A914LGH4-F1-model_v6.pdb,aalz
422,AF-A0A914LHF0-F1-model_v6.pdb,aal0
423,AF-A0A914MI56-F1-model_v6.pdb,aal1
424,AF-A0A914MN15-F1-model_v6.pdb,aal2
425,AF-A0A914S466-F1-model_v6.pdb,aal3
426,AF-A0A914TIV3-F1-model_v6.pdb,aal4
427,AF-A0A914VRI6-F1-model_v6.pdb,aal5
428,AF-A0A914W9E5-F1-model_v6.pdb,aal6
429,AF-A0A914WB89-F1-model_v6.pdb,aal7
430,AF-A0A914XDQ8-F1-model_v6.pdb,aal8
431,AF-A0A914XSB9-F1-model_v6.pdb,aal9
432,AF-A0A914YCQ6-F1-model_v6.pdb,aama
433,AF-A0A914YNX1-F1-model_v6.pdb,aamb
434,AF-A0A914YQC1-F1-model_v6.pdb,aamc
435,AF-A0A915ALY6-F1-model_v6.pdb,aamd
436,AF-A0A915ALZ1-F1-model_v6.pdb,aame
437,AF-A0A915AV10-F1-model_v6.pdb,aamf
438,AF-A0A915E435-F1-model_v6.pdb,aamg
439,AF-A0A915EHD0-F1-model_v6.pdb,aamh
440,AF-A0A915IGZ2-F1-model_v6.pdb,aami
441,AF-A0A915NIH3-F1-model_v6.pdb,aamj
442,AF-A0A974HE50-F1-model_v6.pdb,aamk
443,AF-A0A9D3RZT4-F1-model_v6.pdb,aaml
444,AF-A0A9D4DY65-F1-model_v6.pdb,aamm
445,AF-A0A9D4IDV1-F1-model_v6.pdb,aamn
446,AF-A0A9D4NVW3-F1-model_v6.pdb,aamo
447,AF-A0A9D4WD29-F1-model_v6.pdb,aamp
448,AF-A0A9D5AW82-F1-model_v6.pdb,aamq
449,AF-A0A9J2P616-F1-model_v6.pdb,aamr
