,region,tg,prob,eval,taxid,lineage,dbStartPos,dbEndPos,qStartPos,qEndPos
20,blade,AF-K7LGZ8-F1-model_v6,1.0,7.35e-18,3847.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;indigoferoid/millettioid clade;Phaseoleae;Glycine;Glycine subgen. Soja;Glycine max,2,1352,7,1304
21,blade,AF-F4IN58-F1-model_v6,1.0,3.76e-16,3702.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Camelineae;Arabidopsis;Arabidopsis thaliana,2,1330,7,1304
23,blade,AF-A0A061ACU2-4-F1-model_v6,1.0,3.54e-53,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1317,1,1304
24,blade,AF-A0A061ACU2-6-F1-model_v6,1.0,2.2e-53,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1317,1,1304
25,blade,AF-A0A061ACU2-5-F1-model_v6,1.0,3.41e-52,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1279,1,1304
26,blade,AF-A0A061ACU2-F1-model_v6,1.0,7.54e-53,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1319,1,1304
27,blade,AF-A0A061ACU2-2-F1-model_v6,1.0,6.4299999999999995e-53,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1315,1,1304
28,blade,AF-A0A061ACU2-3-F1-model_v6,1.0,5.74e-51,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1277,1,1304
29,blade,AF-A0A061ACU2-8-F1-model_v6,1.0,7.56e-52,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1281,1,1304
30,blade,AF-A0A061ACU2-7-F1-model_v6,1.0,2.92e-51,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,1279,1,1304
31,blade,AF-A0A061ACU2-11-F1-model_v6,1.0,1.6100000000000001e-21,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,3,563,741,1304
32,blade,AF-A0A061ACU2-9-F1-model_v6,1.0,1.7400000000000003e-21,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,1,581,715,1304
33,blade,AF-A0A061ACU2-10-F1-model_v6,1.0,3.56e-21,6239.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis;Caenorhabditis elegans,1,581,715,1304
71,blade,AF-A0A8R1XXW9-F1-model_v6,1.0,1.87e-54,6282.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Onchocerca;Onchocerca volvulus,4,1263,14,1304
72,blade,AF-A0A126GUQ2-F1-model_v6,1.0,5.1299999999999994e-48,7227.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;melanogaster group;melanogaster subgroup;Drosophila melanogaster,1,1220,2,1304
74,blade,AF-A0AAF5DN64-F1-model_v6,1.0,4.44e-43,6248.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Strongyloidoidea;Strongyloididae;Strongyloides;Strongyloides stercoralis,6,1267,15,1304
76,blade,AF-A0A4E9EUW2-F1-model_v6,1.0,5.66e-56,6279.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Brugia;Brugia malayi,1,1215,1,1304
78,blade,AF-K7MZZ7-F1-model_v6,1.0,1.21e-10,3847.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;indigoferoid/millettioid clade;Phaseoleae;Glycine;Glycine subgen. Soja;Glycine max,4,1023,2,1302
80,blade,AF-A0A4E9F501-F1-model_v6,1.0,3.1e-13,6279.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Brugia;Brugia malayi,2,633,565,1304
82,blade,AF-A0A158Q5L0-F1-model_v6,1.0,1.03e-25,318479.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Dracunculoidea;Dracunculidae;Dracunculus;Dracunculus medinensis,24,699,544,1304
84,blade,AF-A0A0N4U6X9-F1-model_v6,1.0,6.76e-34,318479.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Dracunculoidea;Dracunculidae;Dracunculus;Dracunculus medinensis,35,744,535,1304
86,blade,6kg7-assembly1_A,1.0,9.35e-62,10090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus;Mus musculus,2,969,10,1304
87,blade,AF-A0A077Z8J1-F1-model_v6,1.0,4.15e-38,36087.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Dorylaimia;Trichinellida;Trichuridae;Trichuris;Trichuris trichiura,2,720,521,1304
89,blade,AF-A0A4E9FEN3-F1-model_v6,1.0,2.82e-19,6279.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Brugia;Brugia malayi,7,824,198,1304
115,blade,AF-A0A8R1TRS9-F1-model_v6,1.0,1.26e-10,6282.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Onchocerca;Onchocerca volvulus,2,683,186,1304
116,blade,AF-A0A8R1U0Y7-F1-model_v6,1.0,5.06e-09,6282.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Onchocerca;Onchocerca volvulus,37,582,770,1304
118,blade,6b3r-assembly1_A,1.0,8.13e-55,10090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus;Mus musculus,4,646,574,1304
119,blade,7wlu-assembly1_A,1.0,1.47e-40,10090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus;Mus musculus,2,577,571,1304
120,blade,7wlt-assembly1_A,1.0,1.03e-39,10090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus;Mus musculus,2,460,790,1304
121,blade,5z10-assembly1_A,1.0,7.690000000000001e-31,10090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus;Mus musculus,2,474,571,1304
122,blade,AF-A0A6A4WMD7-F1-model_v6,1.0,8.42e-44,1232801.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Thecostraca;Cirripedia;Thoracica;Thoracicalcarea;Balanomorpha;Balanoidea;Balanidae;Amphibalaninae;Amphibalanus;Amphibalanus amphitrite,103,1279,1,1149
123,blade,AF-A0A817NR70-F1-model_v6,1.0,3.4e-26,2762512.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Philodinida;Philodinidae;Rotaria;unclassified Rotaria;Rotaria sp. Silwood2,1,834,2,998
124,blade,AF-A0A8S2LA96-F1-model_v6,1.0,2.4899999999999997e-54,392030.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Philodinida;Philodinidae;Rotaria;Rotaria magnacalcarata,94,1276,3,1232
125,blade,AF-A0A7J7JSE9-F1-model_v6,1.0,2.1800000000000002e-29,10212.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Bryozoa;Gymnolaemata;Cheilostomatida;Flustrina;Buguloidea;Bugulidae;Bugula;Bugula neritina,7,682,598,1304
126,blade,AF-A0A397BN74-F1-model_v6,1.0,1.41e-13,112090.0,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniomycetes;Saprolegniales;Verrucalvaceae;Aphanomyces;Aphanomyces astaci,171,1197,335,1304
127,blade,AF-A0A653DHE2-F1-model_v6,1.0,2.93e-08,64391.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Bruchinae;Bruchini;Callosobruchus;Callosobruchus maculatus,2,309,1003,1304
128,blade,AF-A0A480KZG1-F1-model_v6,1.0,2.51e-66,9823.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Suina;Suidae;Sus;Sus scrofa,1,1252,1,1147
129,blade,AF-A0A158Q727-F1-model_v6,1.0,6.02e-06,1147741.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Elaeophora;Elaeophora elaphi,4,354,952,1304
130,blade,AF-A0A2H1X0Q2-F1-model_v6,1.0,1.32e-53,7108.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Obtectomera;Noctuoidea;Noctuidae;Amphipyrinae;Spodoptera;Spodoptera frugiperda,2,1255,18,1283
131,blade,AF-A0A6J2YXD6-F1-model_v6,1.0,3.37e-30,7048.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Dryophthorinae;Sitophilus;Sitophilus oryzae,31,856,411,1304
132,blade,AF-A0A397F5V6-F1-model_v6,1.0,3.04e-09,112090.0,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniomycetes;Saprolegniales;Verrucalvaceae;Aphanomyces;Aphanomyces astaci,1,553,763,1304
133,blade,AF-A0A0Q5UK93-F1-model_v6,1.0,1.1399999999999999e-48,7220.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;melanogaster group;melanogaster subgroup;Drosophila erecta,1,1222,2,1304
134,blade,AF-A0A0A1U646-F1-model_v6,1.0,9.05e-17,370355.0,cellular organisms;Eukaryota;Amoebozoa;Evosea;Archamoebae;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba invadens;Entamoeba invadens IP1,40,1154,3,1303
135,blade,AF-A0A7J8CKB3-F1-model_v6,1.0,1.41e-88,9407.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yinpterochiroptera;Pteropodoidea;Pteropodidae;Rousettinae;Rousettus;Rousettus aegyptiacus,233,1211,18,998
136,blade,AF-A0A8C2B9A3-F1-model_v6,1.0,3.39e-72,7962.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Cyprinidae;Cyprininae;Cyprinus;Cyprinus carpio,6,1214,11,1304
137,blade,AF-A0A453EU98-F1-model_v6,1.0,0.000629,200361.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Aegilops;Aegilops tauschii;Aegilops tauschii subsp. strangulata,29,584,805,1304
138,blade,AF-A0A914YNX1-F1-model_v6,1.0,1.57e-47,310955.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Panagrolaimoidea;Panagrolaimidae;Panagrolaimus;Panagrolaimus superbus,2,984,346,1304
139,blade,AF-A0A3N0XQA4-F1-model_v6,1.0,1.46e-44,495550.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Xenocyprididae;Xenocypridinae;Xenocypridinae incertae sedis;Anabarilius;Anabarilius grahami,236,1227,147,1101
140,blade,AF-A0A226EIU0-F1-model_v6,1.0,3.13e-57,158441.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Collembola;Entomobryomorpha;Isotomoidea;Isotomidae;Proisotominae;Folsomia;Folsomia candida,23,1198,1,1304
141,blade,8imz-assembly1_A,1.0,3.93e-30,10090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus;Mus musculus,2,373,790,1304
142,blade,AF-A0AAV6VPB1-F1-model_v6,1.0,5.88e-59,931172.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Orbiculariae;Araneoidea;Linyphiidae;Erigoninae;Oedothorax;Oedothorax gibbosus,2,1220,1,1190
143,blade,AF-A0A8C6VJD5-F1-model_v6,1.0,4.92e-66,35670.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Colubroidea;Elapidae;Elapinae;Naja;Naja naja,8,1174,14,1304
144,blade,AF-A0A3Q3G502-F1-model_v6,1.0,1.75e-67,56723.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Labriformes;Labridae;Labrus;Labrus bergylta,9,1161,143,1304
